nohup: ignoring input
Initializing config from ./head-8-enc-3-dec-3-emb-128-batch-512-drop-0.3.ini ...
==============================
BASE: 10, FIXED_LEN: 123, SOS: ^, EOS: $, PAD: @
Vocalbulary: ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '$', '^', '@', '+', '-', '*', '/']
Vocalbulary: ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '$', '^', '@', '+', '-', '*', '/']
Looked-up tokens: ['$', '*', '+', '-', '/', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '@', '^']
Token indices: [5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 16, 15, 2, 3, 1, 4]
MAX_NUM: 1048576, split_ratio: 0.875, BATCH_SIZE: 512, REVERSE_INPUT: False
EMB_SIZE: 128, NHEAD: 8, FFN_HID_DIM: 512, NUM_ENCODER_LAYERS: 1,            NUM_DECODER_LAYERS: 6, DROP_OUT: 0.3, ATTN_WINDOW: -1
DEVICE: cuda
FREEZE_EMBEDDING: False
POSITION_ENCODING: Sinusoidal
=================
1048576
123
512
0.3
-1
Training for 256 epochs, each having 1792.0 batches
Epoch: 1, Train loss: 0.000541, Val loss: 0.000438, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 360.942s
Epoch: 2, Train loss: 0.000440, Val loss: 0.000435, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 354.867s
Epoch: 3, Train loss: 0.000424, Val loss: 0.000386, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 358.138s
Epoch: 4, Train loss: 0.000389, Val loss: 0.000372, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 358.284s
Epoch: 5, Train loss: 0.000377, Val loss: 0.000365, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 358.117s
Epoch: 6, Train loss: 0.000372, Val loss: 0.000363, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 359.461s
Epoch: 7, Train loss: 0.000369, Val loss: 0.000363, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 358.815s
Epoch: 8, Train loss: 0.000368, Val loss: 0.000363, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 371.364s
Epoch: 9, Train loss: 0.000366, Val loss: 0.000363, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 376.375s
Epoch: 10, Train loss: 0.000366, Val loss: 0.000362, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 386.277s
Epoch: 11, Train loss: 0.000365, Val loss: 0.000362, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 381.798s
Epoch: 12, Train loss: 0.000363, Val loss: 0.000358, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 380.970s
Epoch: 13, Train loss: 0.000350, Val loss: 0.000297, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 379.171s
Epoch: 14, Train loss: 0.000312, Val loss: 0.000262, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 380.016s
Epoch: 15, Train loss: 0.000285, Val loss: 0.000237, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 377.771s
Epoch: 16, Train loss: 0.000263, Val loss: 0.000217, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 377.584s
Epoch: 17, Train loss: 0.000247, Val loss: 0.000194, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 376.594s
Epoch: 18, Train loss: 0.000231, Val loss: 0.000151, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 366.433s
Epoch: 19, Train loss: 0.000207, Val loss: 0.000083, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 370.506s
Epoch: 20, Train loss: 0.000175, Val loss: 0.000070, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 383.822s
Epoch: 21, Train loss: 0.000154, Val loss: 0.000057, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 377.717s
Epoch: 22, Train loss: 0.000130, Val loss: 0.000014, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 363.928s
Epoch: 23, Train loss: 0.000100, Val loss: 0.000004, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 365.591s
Epoch: 24, Train loss: 0.000082, Val loss: 0.000002, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 360.972s
Epoch: 25, Train loss: 0.000070, Val loss: 0.000001, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 365.574s
Epoch: 26, Train loss: 0.000060, Val loss: 0.000001, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 369.782s
Epoch: 27, Train loss: 0.000053, Val loss: 0.000000, Train acc:  0.000000, Val acc:  0.000000, Epoch time = 367.301s
